Date,w_target_voo,w_target_ief,regime_label,p_tail_base,base_rate,raw_val_auc,optimizer,portfolio_vol_ann,view_confidence,edge,dead_band_hold,publish_mode,final_pass,deployment_mode
2023-04-05,0.419999999982578,0.5800000000174221,high_vol,0.2079361226480535,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.1048635880686439,1.0,-0.0008715672278342,1,NORMAL,1,
2023-04-06,0.419999999982578,0.5800000000174221,high_vol,0.2211316458081614,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.1043056418980729,1.0,-0.0140670903879421,1,NORMAL,1,
2023-04-07,0.6,0.4,crisis,0.2094766061089839,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0024120506887646,0,NORMAL,1,
2023-04-10,0.6,0.4,crisis,0.2125639118526426,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0054993564324233,1,NORMAL,1,
2023-04-11,0.6,0.4,crisis,0.2003957453241034,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0066688100961158,1,NORMAL,1,
2023-04-12,0.6,0.4,crisis,0.2052324462725879,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0018321091476312,1,NORMAL,1,
2023-04-13,0.6,0.4,crisis,0.2377327842558163,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.030668228835597,1,NORMAL,1,
2023-04-14,0.6,0.4,crisis,0.2213822058410928,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0143176504208736,1,NORMAL,1,
2023-04-17,0.6,0.4,crisis,0.2193961202041898,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0123315647839706,1,NORMAL,1,
2023-04-18,0.6,0.4,crisis,0.2132921393219165,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0062275839016973,1,NORMAL,1,
2023-04-19,0.6,0.4,crisis,0.1936560669206381,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.013408488499581,1,NORMAL,1,
2023-04-20,0.6,0.4,crisis,0.1985089041549461,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0085556512652731,1,NORMAL,1,
2023-04-21,0.6,0.4,crisis,0.1945755735145047,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0124889819057145,1,NORMAL,1,
2023-04-24,0.6,0.4,crisis,0.2061959929414638,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0008685624787554,1,NORMAL,1,
2023-04-25,0.6,0.4,crisis,0.2040272983225152,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0030372570977039,1,NORMAL,1,
2023-04-26,0.6,0.4,crisis,0.2044121571122527,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0026523983079665,1,NORMAL,1,
2023-04-27,0.521412512652927,0.478587487347073,high_vol,0.200203658049007,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.1023144709041979,0.0105529759392153,0.0068608973712122,0,NORMAL,1,
2023-04-28,0.521412512652927,0.478587487347073,high_vol,0.1971084698753083,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.1017976018457954,0.0105529759392153,0.0099560855449108,1,NORMAL,1,
2023-05-01,0.521412512652927,0.478587487347073,high_vol,0.1929380945860061,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.101376362688353,0.0105529759392153,0.014126460834213,1,NORMAL,1,
2023-05-02,0.521412512652927,0.478587487347073,high_vol,0.1993976598968488,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.1003622528458994,0.0105529759392153,0.0076668955233704,1,NORMAL,1,
2023-05-03,0.521412512652927,0.478587487347073,high_vol,0.1972244102383793,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.0987001395264911,0.0105529759392153,0.0098401451818398,1,NORMAL,1,
2023-05-04,0.521412512652927,0.478587487347073,high_vol,0.2024059546215142,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.09768977175603,0.0105529759392153,0.004658600798705,1,NORMAL,1,
2023-05-05,0.5275309052586411,0.4724690947413588,high_vol,0.1983953402184524,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.0915372101698926,0.0105529759392153,0.0086692152017668,0,NORMAL,1,
2023-05-08,0.5275309052586411,0.4724690947413588,high_vol,0.1961136255229887,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.091421172604461,0.0105529759392153,0.0109509298972305,1,NORMAL,1,
2023-05-09,0.5275309052586411,0.4724690947413588,high_vol,0.2000186578642093,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.09121670454382,0.0105529759392153,0.0070458975560099,1,NORMAL,1,
2023-05-10,0.5275309052586411,0.4724690947413588,high_vol,0.1944514554256921,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.0911469389760667,0.0105529759392153,0.0126130999945271,1,NORMAL,1,
2023-05-11,0.5275309052586411,0.4724690947413588,high_vol,0.1980655448121051,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.0909494963876636,0.0105529759392153,0.0089990106081141,1,NORMAL,1,
2023-05-12,0.5275309052586411,0.4724690947413588,high_vol,0.2034623259213603,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.0907742149436857,0.0105529759392153,0.0036022294988589,1,NORMAL,1,
2023-05-15,0.5275309052586411,0.4724690947413588,high_vol,0.2034762651384325,0.2070645554202192,0.5008442380751372,black_litterman_cvar,0.0905297244571484,0.0105529759392153,0.0035882902817866,1,NORMAL,1,
2023-05-16,0.6,0.4,crisis,0.1983338214316008,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0087307339886184,0,NORMAL,1,
2023-05-17,0.6,0.4,crisis,0.1959952999579045,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0110692554623147,1,NORMAL,1,
2023-05-18,0.6,0.4,crisis,0.1914548275712164,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0156097278490028,1,NORMAL,1,
2023-05-19,0.6,0.4,crisis,0.1931344509708404,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0139301044493788,1,NORMAL,1,
2023-05-22,0.6,0.4,crisis,0.1991958349230365,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0078687204971827,1,NORMAL,1,
2023-05-23,0.6,0.4,crisis,0.19940069109554,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0076638643246791,1,NORMAL,1,
2023-05-24,0.6,0.4,crisis,0.209489296528322,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0024247411081027,1,NORMAL,1,
2023-05-25,0.6,0.4,crisis,0.2045091790151204,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0025553764050988,1,NORMAL,1,
2023-05-26,0.6,0.4,crisis,0.2185433987696045,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0114788433493852,1,NORMAL,1,
2023-05-29,0.6,0.4,crisis,0.2009226221747632,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.006141933245456,1,NORMAL,1,
2023-05-30,0.6,0.4,crisis,0.2022583703958058,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0048061850244134,1,NORMAL,1,
2023-05-31,0.6,0.4,crisis,0.205536441587852,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0015281138323672,1,NORMAL,1,
2023-06-01,0.6,0.4,crisis,0.1991170426612336,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0079475127589856,1,NORMAL,1,
2023-06-02,0.6,0.4,crisis,0.204722778547565,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0023417768726542,1,NORMAL,1,
2023-06-05,0.6,0.4,crisis,0.2008183245880111,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.006246230832208,1,NORMAL,1,
2023-06-06,0.6,0.4,crisis,0.1981943112335937,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0088702441866254,1,NORMAL,1,
2023-06-07,0.6,0.4,crisis,0.1950746087458888,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0119899466743303,1,NORMAL,1,
2023-06-08,0.6,0.4,crisis,0.1918951146247385,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0151694407954807,1,NORMAL,1,
2023-06-09,0.6,0.4,crisis,0.1953078605483564,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0117566948718628,1,NORMAL,1,
2023-06-12,0.6,0.4,crisis,0.1913406307743915,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0157239246458276,1,NORMAL,1,
2023-06-13,0.6,0.4,crisis,0.1936239121722359,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0134406432479833,1,NORMAL,1,
2023-06-14,0.6,0.4,crisis,0.1840524299658858,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0230121254543334,1,NORMAL,1,
2023-06-15,0.6,0.4,crisis,0.1821185528659771,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.024946002554242,1,NORMAL,1,
2023-06-16,0.6,0.4,crisis,0.1835397086843255,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0235248467358936,1,NORMAL,1,
2023-06-19,0.6,0.4,crisis,0.184013909609404,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0230506458108152,1,NORMAL,1,
2023-06-20,0.6,0.4,crisis,0.1864436562491769,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0206208991710423,1,NORMAL,1,
2023-06-21,0.6,0.4,crisis,0.1816833115884064,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0253812438318128,1,NORMAL,1,
2023-06-22,0.6,0.4,crisis,0.1842070785984075,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0228574768218117,1,NORMAL,1,
2023-06-23,0.6,0.4,crisis,0.1825311203013713,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0245334351188478,1,NORMAL,1,
2023-06-26,0.6,0.4,crisis,0.1946732516497081,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.012391303770511,1,NORMAL,1,
2023-06-27,0.6,0.4,crisis,0.1922793290214456,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0147852263987736,1,NORMAL,1,
2023-06-28,0.6,0.4,crisis,0.1883926831375049,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0186718722827143,1,NORMAL,1,
2023-06-29,0.6,0.4,crisis,0.1873254341791417,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0197391212410775,1,NORMAL,1,
2023-06-30,0.6,0.4,crisis,0.1886343817410198,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0184301736791994,1,NORMAL,1,
2023-07-03,0.6,0.4,crisis,0.1884345082750743,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0186300471451449,1,NORMAL,1,
2023-07-04,0.6,0.4,crisis,0.1898347375680025,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0172298178522166,1,NORMAL,1,
2023-07-05,0.6,0.4,crisis,0.192861573747127,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0142029816730921,1,NORMAL,1,
2023-07-06,0.6,0.4,crisis,0.1947294659077822,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.012335089512437,1,NORMAL,1,
2023-07-07,0.6,0.4,crisis,0.1945508342705655,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0125137211496537,1,NORMAL,1,
2023-07-10,0.6,0.4,crisis,0.1928192136609995,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0142453417592197,1,NORMAL,1,
2023-07-11,0.6,0.4,crisis,0.1944754216895827,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0125891337306364,1,NORMAL,1,
2023-07-12,0.6,0.4,crisis,0.1851750497711178,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0218895056491014,1,NORMAL,1,
2023-07-13,0.6,0.4,crisis,0.1733169129347945,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0337476424854246,1,NORMAL,1,
2023-07-14,0.6,0.4,crisis,0.1955225356953966,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0115420197248226,1,NORMAL,1,
2023-07-17,0.6,0.4,crisis,0.1881200757694593,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0189444796507599,1,NORMAL,1,
2023-07-18,0.6,0.4,crisis,0.1993619369306016,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0077026184896175,1,NORMAL,1,
2023-07-19,0.6,0.4,crisis,0.199401861548131,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0076626938720882,1,NORMAL,1,
2023-07-20,0.6,0.4,crisis,0.2188862388593639,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0118216834391446,1,NORMAL,1,
2023-07-21,0.6,0.4,crisis,0.2066999513103767,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0003646041098425,1,NORMAL,1,
2023-07-24,0.6,0.4,crisis,0.2124002027008736,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0053356472806543,1,NORMAL,1,
2023-07-25,0.6,0.4,crisis,0.222933285530578,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0158687301103588,1,NORMAL,1,
2023-07-26,0.6,0.4,crisis,0.2314607656572413,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.024396210237022,1,NORMAL,1,
2023-07-27,0.6,0.4,crisis,0.2328215427901817,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0257569873699624,1,NORMAL,1,
2023-07-28,0.6,0.4,crisis,0.2213627920039546,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0142982365837353,1,NORMAL,1,
2023-07-31,0.6,0.4,crisis,0.2229912362886288,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0159266808684095,1,NORMAL,1,
2023-08-01,0.6,0.4,crisis,0.2165922377101892,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.00952768228997,1,NORMAL,1,
2023-08-02,0.6,0.4,crisis,0.2459857395579039,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0389211841376846,1,NORMAL,1,
2023-08-03,0.6,0.4,crisis,0.2426681408250664,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0356035854048472,1,NORMAL,1,
2023-08-04,0.6,0.4,crisis,0.2608040540414927,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0537394986212735,1,NORMAL,1,
