Date,Ticker,weight,alpha_state,alpha_state_display,fusion_live,budget_mult,source_alpha_date,alpha_quality_ok,alpha_drift_ok,alpha_trial_gate_open,alpha_fused_gate_open,alpha_promotion_ready,alpha_blocker_text,part3_version,run_utc
2023-12-04,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-12-04,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-12-04,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-12-04,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-12-04,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-12-04,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-12-13,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-12-13,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-12-13,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-12-13,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-12-13,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-12-13,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-12-22,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-12-22,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-12-22,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-12-22,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-12-22,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-12-22,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-01-04,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-01-04,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-01-04,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-01-04,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-01-04,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-01-04,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-01-16,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-01-16,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-01-16,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-01-16,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-01-16,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-01-16,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-01-25,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-01-25,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-01-25,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-01-25,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-01-25,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-01-25,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-02-05,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-02-05,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-02-05,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-02-05,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-02-05,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-02-05,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-02-14,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-02-14,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-02-14,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-02-14,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-02-14,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-02-14,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-02-26,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-02-26,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-02-26,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-02-26,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-02-26,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-02-26,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-03-06,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-03-06,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-03-06,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-03-06,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-03-06,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-03-06,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-03-15,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-03-15,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-03-15,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-03-15,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-03-15,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-03-15,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-03-26,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-03-26,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2024-03-26,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2024-03-26,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
